topic_id,title,created_date,top_message,closed,pinned,link
227321,Mental Health Check In,2025-01-28 11:18:19,294089,False,True,https://t.me/c/2399831251/227321
465,Public Announcements,2025-01-17 15:49:31,293272,True,True,https://t.me/c/2399831251/465
202409,Official Media & Information,2025-01-26 18:33:38,292276,True,True,https://t.me/c/2399831251/202409
35239,ICE Raid Updates,2025-01-20 14:13:58,294056,False,True,https://t.me/c/2399831251/35239
21315,Who We Are/ Rules,2025-01-19 14:36:05,279945,True,True,https://t.me/c/2399831251/21315
8684,Open Discussion,2025-01-18 17:04:52,294112,False,False,https://t.me/c/2399831251/8684
69,Texas,2025-01-17 12:37:00,294111,False,False,https://t.me/c/2399831251/69
74,West Virginia,2025-01-17 12:37:55,294108,False,False,https://t.me/c/2399831251/74
57,New jersey,2025-01-17 12:34:54,294100,False,False,https://t.me/c/2399831251/57
28,Arizona,2025-01-17 12:26:53,294098,False,False,https://t.me/c/2399831251/28
42,Iowa,2025-01-17 12:32:36,294096,False,False,https://t.me/c/2399831251/42
36,Georgia,2025-01-17 12:29:02,294087,False,False,https://t.me/c/2399831251/36
49,Michigan,2025-01-17 12:33:29,294086,False,False,https://t.me/c/2399831251/49
64,Oregon,2025-01-17 12:35:53,294075,False,False,https://t.me/c/2399831251/64
59,New york,2025-01-17 12:35:07,294074,False,False,https://t.me/c/2399831251/59
30,California,2025-01-17 12:27:16,294058,False,False,https://t.me/c/2399831251/30
31,Colorado,2025-01-17 12:27:23,294055,False,False,https://t.me/c/2399831251/31
40,Illinois,2025-01-17 12:32:22,294041,False,False,https://t.me/c/2399831251/40
289114,"Veterans, educator and nurses leadership applications",2025-02-09 21:14:28,294016,False,False,https://t.me/c/2399831251/289114
1002,Self reliance (how to stay safe),2025-01-17 17:45:25,293926,False,False,https://t.me/c/2399831251/1002
3145,Literature and general education,2025-01-18 00:25:57,293805,False,False,https://t.me/c/2399831251/3145
62,Ohio,2025-01-17 12:35:27,293778,False,False,https://t.me/c/2399831251/62
38,Idaho,2025-01-17 12:29:25,293777,False,False,https://t.me/c/2399831251/38
52,Missouri,2025-01-17 12:34:00,293731,False,False,https://t.me/c/2399831251/52
91920,Latin Community,2025-01-22 13:22:29,293599,False,False,https://t.me/c/2399831251/91920
43124,NEWS,2025-01-20 22:42:16,293598,False,False,https://t.me/c/2399831251/43124
34,Florida,2025-01-17 12:28:18,293532,False,False,https://t.me/c/2399831251/34
63,Oklahoma,2025-01-17 12:35:33,293530,False,False,https://t.me/c/2399831251/63
50,Minnesota,2025-01-17 12:33:37,293455,False,False,https://t.me/c/2399831251/50
43,Kansas,2025-01-17 12:32:41,293436,False,False,https://t.me/c/2399831251/43
44,Kentucky,2025-01-17 12:32:48,293417,False,False,https://t.me/c/2399831251/44
26561,Memes and things,2025-01-19 23:50:43,293297,False,False,https://t.me/c/2399831251/26561
3,Protest Information,2025-01-17 10:48:32,293081,False,False,https://t.me/c/2399831251/3
65,Pennsylvania,2025-01-17 12:36:00,292901,False,False,https://t.me/c/2399831251/65
13132,Leadership Applications,2025-01-18 22:00:36,292852,False,False,https://t.me/c/2399831251/13132
75,Wisconsin,2025-01-17 12:38:03,292790,False,False,https://t.me/c/2399831251/75
26,Alabama,2025-01-17 12:26:40,292742,False,False,https://t.me/c/2399831251/26
292694,Mutual/Community Aid,2025-02-12 11:45:18,292725,False,False,https://t.me/c/2399831251/292694
9405,DC,2025-01-18 18:25:42,292653,False,False,https://t.me/c/2399831251/9405
72,Virginia,2025-01-17 12:37:38,292625,False,False,https://t.me/c/2399831251/72
55,Nevada,2025-01-17 12:34:23,292612,False,False,https://t.me/c/2399831251/55
41,Indiana,2025-01-17 12:32:28,292520,False,False,https://t.me/c/2399831251/41
48,Massachusetts,2025-01-17 12:33:19,292494,False,False,https://t.me/c/2399831251/48
231957,Marginalized/Underrepresented Community Leadership Applications,2025-01-28 20:23:03,292425,False,False,https://t.me/c/2399831251/231957
76,Wyoming,2025-01-17 12:38:11,292422,False,False,https://t.me/c/2399831251/76
27,Alaska,2025-01-17 12:26:46,292421,False,False,https://t.me/c/2399831251/27
47,Maryland,2025-01-17 12:33:08,292420,False,False,https://t.me/c/2399831251/47
54,Nebraska,2025-01-17 12:34:18,292419,False,False,https://t.me/c/2399831251/54
67,South Carolina,2025-01-17 12:36:26,292418,False,False,https://t.me/c/2399831251/67
33,Delaware,2025-01-17 12:28:09,292417,False,False,https://t.me/c/2399831251/33
22327,South Dakota,2025-01-19 16:44:00,292416,False,False,https://t.me/c/2399831251/22327
45,Louisiana,2025-01-17 12:32:55,292415,False,False,https://t.me/c/2399831251/45
66,Rhode Island,2025-01-17 12:36:18,292413,False,False,https://t.me/c/2399831251/66
51,Mississippi,2025-01-17 12:33:44,292412,False,False,https://t.me/c/2399831251/51
60,North Carolina,2025-01-17 12:35:15,292407,False,False,https://t.me/c/2399831251/60
53,Montana,2025-01-17 12:34:07,292406,False,False,https://t.me/c/2399831251/53
32,Connecticut (why so hard to spell?),2025-01-17 12:27:56,292405,False,False,https://t.me/c/2399831251/32
37,Hawaii,2025-01-17 12:29:11,292404,False,False,https://t.me/c/2399831251/37
68,Tennessee,2025-01-17 12:36:33,292401,False,False,https://t.me/c/2399831251/68
70,Utah,2025-01-17 12:37:22,292398,False,False,https://t.me/c/2399831251/70
46,Maine,2025-01-17 12:33:03,292396,False,False,https://t.me/c/2399831251/46
58,New mexico,2025-01-17 12:35:00,292394,False,False,https://t.me/c/2399831251/58
61,North & South Dakota,2025-01-17 12:35:22,292386,False,False,https://t.me/c/2399831251/61
56,New Hampshire,2025-01-17 12:34:28,292385,False,False,https://t.me/c/2399831251/56
73,Washington,2025-01-17 12:37:46,292381,False,False,https://t.me/c/2399831251/73
29,Arkansas,2025-01-17 12:27:02,292380,False,False,https://t.me/c/2399831251/29
71,Vermont,2025-01-17 12:37:29,292376,False,False,https://t.me/c/2399831251/71
6,Support & Resources,2025-01-17 10:50:10,292178,False,False,https://t.me/c/2399831251/6
199808,BIPOC,2025-01-25 20:41:26,290665,False,False,https://t.me/c/2399831251/199808
15464,Expression and Conflict Resolution,2025-01-19 00:04:21,290373,False,False,https://t.me/c/2399831251/15464
1,Welcome Chat,2025-01-17 10:47:41,288479,False,False,https://t.me/c/2399831251/1
269506,Tech Team Applications,2025-02-03 00:43:36,287024,False,False,https://t.me/c/2399831251/269506
309,Marketing & Branding Ideas,2025-01-17 14:57:14,286718,False,False,https://t.me/c/2399831251/309
236454,Media Applications,2025-01-29 09:12:09,282857,False,False,https://t.me/c/2399831251/236454
2656,Trading Post,2025-01-17 22:59:30,282651,False,False,https://t.me/c/2399831251/2656
2,Goals and processes,2025-01-17 10:48:09,282596,False,False,https://t.me/c/2399831251/2
3888,Tech Channel + Migration & Growth Plans,2025-01-18 02:17:22,270018,True,False,https://t.me/c/2399831251/3888
17579,How do I use this app,2025-01-19 02:21:57,194360,True,False,https://t.me/c/2399831251/17579
2071,New Minecraft server,2025-01-17 21:03:23,194358,True,False,https://t.me/c/2399831251/2071
23476,Links to other organizations,2025-01-19 18:28:29,194354,True,False,https://t.me/c/2399831251/23476
5283,Flyers,2025-01-18 06:57:39,194353,True,False,https://t.me/c/2399831251/5283
966,Legislation & Elections,2025-01-17 17:35:06,194309,True,False,https://t.me/c/2399831251/966
2095,Bills on the floor,2025-01-17 21:07:53,19420,True,False,https://t.me/c/2399831251/2095
